File,Annotation,Source_Link,Title,Subset
women01,1,https://www.bilibili.com/video/BV1eh411Q7x9/?spm_id_from=333.788.recommend_more_video.1&vd_source=6374cb49b8a20f29e86ab9de12471afa,“你很优秀，可惜是个女的”,train
women02,1,https://www.bilibili.com/video/BV1mA41157yU/?spm_id_from=trigger_reload&vd_source=6374cb49b8a20f29e86ab9de12471afa,“重男轻女”不是歧视女性，对不对？（谢作诗）,train
women03,1,https://www.bilibili.com/video/BV1GW411V7Bw/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,《红粉惊魂》：这部为女权呐喊的电影，所有男人都应该看一遍！,train
women04,1,https://www.bilibili.com/video/BV1ZnTFeHEtH/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,被嘲笑的妇女,train
women05,1,https://www.bilibili.com/video/BV1st4y1b7vA/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,女孩遭职场PUA，最后以暴制暴，一部让职场人看完瑟瑟发抖的电影,train
women06,1,https://www.bilibili.com/video/BV1fT411d7Ka/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,国剧终于拍出了坐月子的崩溃！产后种种压力还被苛责，逼的想轻生！产后抑郁真实了！,train
women07,0,https://www.bilibili.com/video/BV11u4y1Y7Zw/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,谢娜谈产后抑郁，能拯救的只有你自己 剪辑,train
women08,1,https://www.bilibili.com/video/BV1Au4y1T77A/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,产后抑郁是如何毁掉一个妈妈的？希望我们都能对妈妈多一点理解和保护。,train
women09,0,https://www.bilibili.com/video/BV1Rq4y187se/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,产后抑郁，跳楼自杀，她会后悔吗,test
women10,0,https://www.bilibili.com/video/BV1oM4y167Uz/?spm_id_from=333.788.recommend_more_video.0&vd_source=6374cb49b8a20f29e86ab9de12471afa,以为生完孩子就结束了，没想到才刚开始…,train
women11,0,https://www.bilibili.com/video/BV1Dm421g7oc/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,产后抑郁不是作，用中医调理产后抑郁的故事【真实临床故事】,train
women12,0,https://www.bilibili.com/video/BV1az4y1N7q8/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,一些产后老公能帮忙做的事情,train
women13,1,###Privacy Limitation###,###Privacy Limitation###,test
women14,1,https://www.bilibili.com/video/BV1nF4m1376A/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妻子产后抑郁轻生，崩溃只在一瞬间,test
women15,0,https://www.bilibili.com/video/BV1Jt4y1F7xh/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妻子产后情绪低落流泪，丈夫带娃做饭豪横给卡，贴心准备意外惊喜,train
women16,1,https://www.bilibili.com/video/BV1284y1a7wZ/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,女子产后抑郁面临崩溃，老公婆婆都不关心,train
women17,0,https://www.bilibili.com/video/BV1HJ411X7Nx/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,3分钟读懂《反家庭暴力法》,train
women18,1,https://www.bilibili.com/video/BV1sD4y1m7h2/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,家庭暴力只有第一次和无数次！,train
women19,1,https://www.bilibili.com/video/BV1t7411U76r/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,悄悄问一下，这算家庭暴力吗,train
women20,0,https://www.bilibili.com/video/BV1ynYkeNEVD/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,贤和公益普法视频第八十二期：关于家庭暴力，你应了解的法律常识,train
women21,0,https://www.bilibili.com/video/BV1TK4y1L7Vr/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,关爱妇女儿童工作公益微电影,train
women22,0,https://www.bilibili.com/video/BV1Gh411r7LK/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,彭丽媛向上海合作组织妇女教育与减贫论坛发表视频致辞,train
women23,0,https://www.bilibili.com/video/BV1br4y1p7Mg/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,宣教士帮助妇女停止缠足和接受教育,train
women24,0,https://www.bilibili.com/video/BV1eu4y1n7LS/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,总台CGTN女童和妇女教育主题纪录片《她上学去了》第一集即将推出,train
women25,1,https://www.bilibili.com/video/BV1zT4y1r7Pn/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,俞敏洪：因为“妇女言论”，我被妇联找去谈话，但我没有怪任何人！,test
women26,0,https://www.bilibili.com/video/BV1y84y1Y7tT/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,“愿所有女性都能受教育，有选择人生的权利！”,train
women27,0,https://www.bilibili.com/video/BV1nf421X7Py/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,抢劫犯进妇女家，没想到一个劫匪不讲规矩强健了妇女，最后得到了报应。,test
women28,0,https://www.bilibili.com/video/BV1CW411W7zq/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,（超燃）不该被替换的“妇女”：看看100年前妇女如何改变了世界,train
women29,0,https://www.bilibili.com/video/BV1zJ411q76K/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妇女节视频,train
women30,0,https://www.bilibili.com/video/BV16j411g7DP/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,“女孩受高等教育，可以救三代人”|三八妇女节特辑——张桂梅,train
women31,0,https://www.bilibili.com/video/BV1XN4y1y7oY/?spm_id_from=autoNext&vd_source=6374cb49b8a20f29e86ab9de12471afa,张桂梅】｜“潺潺流水终于穿过了群山一座座，好像多年之后你依然执着”,train
women32,0,https://www.bilibili.com/video/BV1n34y167HL/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妇女权益保障法修订草案：禁止用PUA等手段残害妇女,train
women33,1,###Privacy Limitation###,###Privacy Limitation###,test
women34,0,https://www.bilibili.com/video/BV1tb4y1W7nS/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妇女节的由来,train
women35,0,https://www.bilibili.com/video/BV1Ht421V7fb/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妇女，你让我感到不陌生,test
women36,0,https://www.bilibili.com/video/BV1Hg4y1t7vC/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,告诉孩子 三八妇女节的来历和意义,test
women37,0,https://www.bilibili.com/video/BV1H24y1G7pP/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,“妈妈你为什么要做警察？”“因为钟意啦！”,train
women38,0,https://www.bilibili.com/video/BV16G4y1d7gj/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,妇女半边天，事事都争先,train
women39,0,https://www.bilibili.com/video/BV1w34y187Br/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,致敬不平凡的中国女性 | 妇女节,train
women40,1,https://www.bilibili.com/video/BV16Q4y1V78A/?spm_id_from=333.788.recommend_more_video.3&vd_source=6374cb49b8a20f29e86ab9de12471afa,男人也会受到性别偏见！,train
women41,0,https://www.bilibili.com/video/BV1kw4m1i72v/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,女性争取受教育权力是何等艰难,train
women42,0,https://www.bilibili.com/video/BV1NE411u7cg/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,只有大妈才会过妇女节吗？,train
women43,1,https://www.bilibili.com/video/BV1q44y1M7Do/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,【女性混剪】“她们本该拥有自己的人生”,train
women44,1,https://www.bilibili.com/video/BV1rN4y1R7z3/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,职场性骚扰太可怕了！果断拒绝对方却依旧纠缠不休｜装腔启示录,train
women45,1,https://www.bilibili.com/video/BV1SL4y1n71r/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,【女心理师26，27预告】“厕所门”小微上演职场性骚扰,test
women46,0,https://www.bilibili.com/video/BV1hH4y157VS/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,第一次遇到职场性骚扰，是什么体验…,train
women47,0,https://www.bilibili.com/video/BV1WT411z72t/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,00后女生被上司性骚扰，拒绝未果搜集证据举报：领导道歉，已离职,train
women48,0,https://www.bilibili.com/video/BV1Tb411h7T8/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,"【社会实验】男女互换性骚扰，路人分别如何反应？——Harassment in Public, Guys vs Girls (Social Experiment)",train
women49,0,https://www.bilibili.com/video/BV1sx4y187Q2/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,女子举报领导性骚扰曝录音：我一忍再忍，他就是不放过我,train
women50,0,https://www.bilibili.com/video/BV1xHYWeQESZ/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,人大女博士举报导师性骚扰事件：无可奈何的真相，不堪直视的角落,train
women51,0,https://www.bilibili.com/video/BV1Sz421B7Ya/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,88年高学历女博士在择偶市场被边缘化，女人的花期真的很短,train
women52,1,https://www.bilibili.com/video/BV1U5411q7SY/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,女子道出男女无法平等的真正的原因,train
women53,1,https://www.bilibili.com/video/BV1E1421b724/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,为什么大龄女性开始变得面目狰狞了,train
women54,0,https://www.bilibili.com/video/BV1oj411c7xW/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,被忽视的女性需求,train
women55,1,https://www.bilibili.com/video/BV1WU4y1e7sm/?spm_id_from=333.337.search-card.all.click&vd_source=6374cb49b8a20f29e86ab9de12471afa,这个社会对女性歧视很多,train
